TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,StudyPattern,Marks
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
